Fid, deborah_integration_delay 
264, Infinity
358, Infinity
81, Infinity
371, Infinity
383, Infinity
363, Infinity
198, Infinity
117, Infinity
59, 0.7
146, Infinity
238, 0.7
164, Infinity
225, Infinity
168, Infinity
184, Infinity
418, Infinity
281, Infinity
320, Infinity
57, 0.7
166, Infinity
141, Infinity
255, Infinity
390, Infinity
61, Infinity
435, Infinity
456, Infinity
103, Infinity
112, Infinity
20, Infinity
159, Infinity
426, Infinity
424, Infinity
362, Infinity
327, Infinity
212, Infinity
302, Infinity
136, Infinity
143, Infinity
129, Infinity
8, Infinity
452, Infinity
106, Infinity
132, 0.924583
293, Infinity
91, Infinity
36, Infinity
399, Infinity
153, Infinity
44, Infinity
447, Infinity
404, Infinity
13, Infinity
453, Infinity
465, Infinity
347, Infinity
272, Infinity
344, Infinity
288, Infinity
268, Infinity
125, Infinity
385, Infinity
384, Infinity
428, Infinity
275, Infinity
438, Infinity
200, Infinity
250, Infinity
72, Infinity
244, Infinity
309, Infinity
7, Infinity
62, Infinity
411, Infinity
308, Infinity
209, Infinity
254, Infinity
149, Infinity
28, Infinity
178, Infinity
387, Infinity
287, Infinity
160, Infinity
4, Infinity
421, Infinity
93, Infinity
246, Infinity
341, Infinity
400, Infinity
175, Infinity
466, Infinity
156, 0.7
73, Infinity
374, Infinity
183, Infinity
187, Infinity
423, Infinity
6, Infinity
27, Infinity
312, Infinity
310, Infinity
10, Infinity
365, Infinity
94, Infinity
295, Infinity
199, Infinity
127, 0.7
249, Infinity
394, Infinity
223, Infinity
381, Infinity
395, Infinity
69, Infinity
100, Infinity
60, Infinity
257, Infinity
274, Infinity
380, Infinity
107, Infinity
406, Infinity
342, Infinity
285, Infinity
40, Infinity
139, Infinity
55, Infinity
172, Infinity
464, Infinity
235, Infinity
429, Infinity
251, 0.7
155, Infinity
224, Infinity
79, Infinity
22, Infinity
2, Infinity
239, Infinity
161, Infinity
355, Infinity
113, Infinity
24, Infinity
43, Infinity
218, Infinity
252, Infinity
64, Infinity
145, Infinity
243, Infinity
15, Infinity
364, Infinity
163, Infinity
49, Infinity
388, Infinity
408, Infinity
214, Infinity
242, Infinity
237, Infinity
373, Infinity
170, Infinity
17, Infinity
102, Infinity
240, Infinity
375, Infinity
439, Infinity
122, Infinity
88, Infinity
298, Infinity
430, Infinity
303, Infinity
377, Infinity
85, Infinity
116, Infinity
414, Infinity
171, Infinity
451, Infinity
292, Infinity
35, 0.7
278, Infinity
335, Infinity
315, Infinity
346, Infinity
324, Infinity
111, Infinity
38, Infinity
376, Infinity
405, Infinity
98, Infinity
417, Infinity
317, 0.7
339, Infinity
80, Infinity
470, Infinity
348, Infinity
425, Infinity
147, Infinity
458, Infinity
434, Infinity
323, Infinity
267, Infinity
276, Infinity
280, Infinity
67, Infinity
297, Infinity
68, Infinity
253, Infinity
231, Infinity
357, Infinity
46, Infinity
454, Infinity
359, Infinity
207, Infinity
305, Infinity
191, Infinity
99, Infinity
461, Infinity
162, 0.7
319, Infinity
230, Infinity
92, Infinity
370, Infinity
227, Infinity
3, Infinity
208, Infinity
202, Infinity
105, Infinity
14, Infinity
174, Infinity
422, Infinity
144, Infinity
433, 0.7
367, Infinity
437, Infinity
234, Infinity
97, Infinity
120, Infinity
96, Infinity
23, Infinity
169, Infinity
58, Infinity
189, Infinity
119, Infinity
63, Infinity
443, 0.7
291, Infinity
140, Infinity
450, Infinity
219, Infinity
87, Infinity
352, Infinity
182, Infinity
446, Infinity
432, Infinity
397, Infinity
194, Infinity
205, Infinity
412, Infinity
391, 1.108333
195, Infinity
29, Infinity
271, Infinity
26, Infinity
41, Infinity
124, Infinity
228, Infinity
316, Infinity
5, Infinity
108, Infinity
353, 0.7
52, Infinity
51, Infinity
121, Infinity
104, Infinity
300, Infinity
336, Infinity
83, Infinity
75, Infinity
337, Infinity
410, Infinity
445, Infinity
449, Infinity
343, Infinity
331, Infinity
19, Infinity
226, Infinity
471, Infinity
0, 0.7
181, Infinity
45, Infinity
114, Infinity
157, Infinity
131, Infinity
190, Infinity
277, Infinity
329, Infinity
70, Infinity
82, Infinity
33, Infinity
318, Infinity
241, Infinity
165, Infinity
296, Infinity
299, Infinity
393, Infinity
413, Infinity
372, Infinity
360, Infinity
74, Infinity
313, 0.7
95, Infinity
350, Infinity
215, Infinity
203, Infinity
130, Infinity
283, 1.225
76, Infinity
326, Infinity
460, Infinity
9, Infinity
150, Infinity
349, Infinity
334, Infinity
109, Infinity
279, Infinity
263, Infinity
289, 1.125385
11, Infinity
396, Infinity
304, Infinity
66, Infinity
154, Infinity
193, Infinity
138, Infinity
1, Infinity
436, Infinity
247, Infinity
176, Infinity
294, Infinity
201, Infinity
34, Infinity
135, Infinity
427, Infinity
217, Infinity
78, Infinity
409, Infinity
366, Infinity
321, Infinity
258, Infinity
459, Infinity
220, Infinity
273, Infinity
86, Infinity
197, Infinity
133, Infinity
314, Infinity
378, Infinity
322, Infinity
328, Infinity
204, Infinity
282, Infinity
462, Infinity
368, Infinity
262, Infinity
330, Infinity
173, 1.225
142, Infinity
110, Infinity
448, Infinity
345, Infinity
56, Infinity
457, Infinity
158, Infinity
340, Infinity
332, Infinity
221, Infinity
71, Infinity
245, Infinity
126, 1.3125
210, Infinity
398, Infinity
77, Infinity
84, Infinity
180, Infinity
18, Infinity
379, Infinity
101, Infinity
431, Infinity
89, Infinity
196, Infinity
25, Infinity
468, Infinity
115, Infinity
469, Infinity
179, Infinity
403, Infinity
259, Infinity
419, Infinity
386, Infinity
21, 0.7
39, Infinity
233, Infinity
152, Infinity
261, Infinity
206, Infinity
148, Infinity
192, Infinity
338, Infinity
30, Infinity
54, Infinity
167, Infinity
269, Infinity
351, Infinity
213, Infinity
444, Infinity
301, Infinity
186, Infinity
53, Infinity
369, Infinity
284, Infinity
256, Infinity
50, Infinity
90, Infinity
134, Infinity
211, Infinity
47, Infinity
455, Infinity
356, Infinity
420, Infinity
12, Infinity
137, Infinity
441, Infinity
442, Infinity
236, Infinity
177, Infinity
306, Infinity
248, Infinity
401, Infinity
290, Infinity
232, Infinity
354, Infinity
270, Infinity
118, Infinity
222, Infinity
286, Infinity
311, Infinity
463, Infinity
402, Infinity
65, Infinity
48, Infinity
392, Infinity
229, Infinity
123, Infinity
361, Infinity
16, Infinity
185, Infinity
333, Infinity
42, Infinity
266, Infinity
389, Infinity
216, Infinity
128, Infinity
416, Infinity
407, Infinity
307, Infinity
382, Infinity
31, Infinity
440, Infinity
415, Infinity
37, 1.225
467, Infinity
32, Infinity
265, Infinity
151, Infinity
188, Infinity
325, Infinity
260, Infinity
